text,label
"Compra ahora y recibe un descuento especial",1
"Haz clic aqui para ganar un premio",1
"Tu ordenador tiene un virus",1
"Descubre como perder peso rapidamente",1
"Necesitas ayuda con tu tarea",0
"Gana dinero desde casa sin esfuerzo",1
"Reclama tu herencia de un pariente lejano",1
"Mejora tu rendimiento sexual con este producto",1
"Por favor responde a esta encuesta",0
"Invierte en esta oportunidad unica y hazte rico",1
"Comparte este mensaje con tus amigos",0
"Obten un prestamo facilmente sin verificacion de credito",1
"Felicidades has ganado un telefono nuevo",1
"Necesitamos verificar tu cuenta bancaria",1
"Aprende ingles en solo 10 dias",1
"Gracias por tu compra",0
"Trabaja desde casa y gana mucho dinero",1
"Este es un mensaje importante de tu banco",1
"Aumenta tu tamano con estas pastillas milagrosas",1
"Hola soy tu vecino y necesito un favor",0
"Has sido seleccionado para una oferta exclusiva",1
"Descarga este software gratis ahora",1
"Conoce solteras calientes en tu area",1
"Por favor confirma tu suscripcion",0
"Obten un descuento del 50% en tu proximo viaje",1
"Tu paquete esta listo para ser recogido",1
"Unete a nuestro club de descuentos",0
"Haz clic para ver fotos de personas desnudas",1
"Necesitamos actualizar tu informacion personal",1
"Compra medicamentos sin receta medica",1
"Hola soy tu amigo de la infancia",0
"Gana una gift card de 100 dolares",1
"Este producto te hara sentir mas joven",1
"Por favor dona a esta causa importante",0
"Has ganado un viaje todo incluido",1
"Descarga este tono de llamada gratis",1
"Haz clic para ver el video mas divertido",1
"Necesitas este seguro de vida ahora mismo",1
"Por favor ayudame a encontrar a mi mascota perdida",0
"Obten acceso a peliculas gratis en linea",1
"Haz esta prueba de coeficiente intelectual y sorprendete",1
"Gracias por tu interes en nuestros servicios",0
"Multiplica tus ingresos con este programa de afiliacion",1
"Te extrano y quiero verte",0
"Obten tu reporte de credito gratis",1
"Este producto milagroso te quitara las arrugas",1
"Por favor completa esta oferta para continuar",1
"Haz clic para descargar musica gratis",1
"Aprende a invertir en criptomonedas ahora",1
"Estoy en problemas por favor enviame dinero",0
"Actualiza tu informacion de contacto",0
"Gana dinero extra desde casa",1
"Tu cuenta ha sido bloqueada temporalmente",1
"Necesito tu ayuda urgentemente",0
"Recibe un bono de bienvenida al registrarte",1
"Este es un recordatorio de tu cita medica",0
"Pierde peso sin esfuerzo con este suplemento",1
"Haz clic para reclamar tu premio",1
"Gracias por ser un cliente valioso",0
"Invierte en bitcoin y hazte millonario",1
"Tu pedido ha sido enviado",0
"Obten un prestamo en linea instantaneamente",1
"Hola soy un principe nigeriano y necesito tu ayuda",1
"Felicidades has sido seleccionado para una encuesta remunerada",1
"Lamento informarte que tu solicitud ha sido rechazada",0
"Aumenta tu energia y libido con estas pastillas naturales",1
"Tu suscripcion expirara pronto",0
"Gana un iPhone gratis participando en este sorteo",1
"Necesitamos verificar tu informacion de pago",1
"Gracias por ponerte en contacto con nuestro equipo de soporte",0
"Haz clic para ver las fotos privadas de esta persona",1
"Tu cuenta tiene un saldo pendiente",1
"Este es un aviso importante de tu proveedor de servicios",0
"Obten acceso ilimitado a contenido exclusivo",1
"Te esperamos en nuestra proxima reunion",0
"Haz una fortuna con este metodo secreto",1
"Has ganado una gift card de Amazon",1
"Confirma tu asistencia al evento",0
"Descubre los secretos para un cabello hermoso y brillante",1
"Necesitamos que verifiques tu identidad",1
"Recomienda nuestro producto y gana comisiones",1
"Este es un mensaje de tu banco",0
"Obten descuentos exclusivos en nuestro sitio web",1
"Ha habido un intento de inicio de sesion sospechoso en tu cuenta",1
"Te invitamos a participar en nuestra encuesta de satisfaccion",0
"Este producto revolucionario te quitara las manchas de la piel",1
"Haz clic aqui para descargar el archivo adjunto",1
"Feliz cumpleaños de parte de todo nuestro equipo",0
"Unete a nuestro programa de afiliados y gana dinero extra",1
"Este es un recordatorio de tu pago pendiente",0
"Descubre como conquistar a la persona de tus sueños",1
"Hola quiero presentarte una increible oportunidad de negocio",1
"Gracias por tu donacion a nuestra causa",0
"Obten acceso anticipado a nuestras rebajas",1
"Tu reserva ha sido confirmada",0
"Gana musculos rapidamente con este suplemento",1
"Por favor actualiza tus preferencias de comunicacion",0
"Aprovecha esta oferta por tiempo limitado",1
"Este es un mensaje automatico de nuestro sistema",0
"Has ganado un vale de compra en nuestra tienda",1
